🐿,chipmunk,squirrel,nuts,acorn,,,,,
🦫,beaver,dam,,,,,,,
🦔,hedgehog,spiny,,,,,,,
🦇,bat,vampire,,,,,,,
🐻,bear,face,,,,,,,
🐻‍❄,arctic,bear,white,polar bear,,,,,
🐨,bear,koala,,,,,,,
🐼,face,panda,bear,,,,,,
🦥,lazy,sloth,slow,,,,,,
🦦,fishing,otter,playful,,,,,,
🦨,skunk,stink,,,,,,,
🦘,Australia,joey,kangaroo,jump,marsupial,,,,
🦡,badger,honey badger,pester,,,,,,
🐾,feet,paw,print,paw prints,,,,,
🦃,bird,turkey,,,,,,,
🐔,bird,chicken,hen,,,,,,
🐓,bird,rooster,hen,chicken,,,,,
🐣,baby,bird,hatching,chick,,,,,
🐤,baby,bird,chick,,,,,,
🐥,baby,bird,front-facing baby chick,chick,,,,,
🐦,bird,,,,,,,,
🐧,bird,penguin,,,,,,,
🕊,bird,dove,peace,fly,,,,,
🦅,bird,eagle,,,,,,,
🦆,bird,duck,,,,,,,
🦢,bird,cygnet,ugly duckling,swan,,,,,
🦉,bird,owl,wise,,,,,,
🦤,dodo,extinction,Mauritius,large,,,,,
🪶,bird,feather,light,flight,plumage,,,,
🦩,flamboyant,flamingo,tropical,,,,,,
🦚,bird,ostentatious,peahen,peacock,proud,,,,
🦜,bird,parrot,talk,pirate,,,,,
🐸,face,frog,,,,,,,
🐊,crocodile,,,,,,,,
🐢,terrapin,tortoise,turtle,,,,,,
